Volume,WhiteCellCount,InstrumentTempreture,Concentration,SampleType,ResultAccuracy
58,9176,25,102,DNA,88
100,6325,28,228,DNA,98
87,7091,23,248,DNA,88
90,4960,27,185,DNA,89
59,9711,26,250,DNA,89
53,5176,27,148,DNA,100
68,6586,22,187,DNA,88
92,7600,27,213,DNA,88
62,7176,27,215,DNA,96
87,9991,27,157,DNA,89
63,4167,26,185,DNA,97
86,3716,24,152,DNA,95
91,4016,22,202,DNA,95
71,7998,27,186,DNA,91
91,7246,26,151,DNA,98
82,7743,27,144,DNA,95
61,9363,24,142,DNA,89
52,4394,24,161,DNA,90
68,7954,25,222,DNA,100
73,8446,22,132,DNA,100
87,7094,22,121,DNA,95
52,8780,26,246,DNA,91
85,7279,22,120,DNA,99
55,9989,27,178,DNA,89
60,3737,23,173,DNA,92
86,5867,27,98,DNA,90
74,6717,25,205,DNA,88
81,6635,23,139,DNA,97
85,8277,26,189,DNA,98
94,4522,28,213,DNA,96
53,6798,22,163,DNA,96
70,9797,28,245,DNA,93
53,7640,28,175,DNA,93
59,6180,22,164,DNA,93
92,4074,23,93,DNA,100
69,4697,28,229,DNA,92
79,6406,25,228,DNA,88
89,8461,28,178,DNA,90
64,9499,26,101,DNA,98
72,9892,22,111,DNA,94
93,4679,28,208,DNA,92
50,7128,23,207,DNA,96
65,5584,26,127,DNA,99
95,9571,26,156,DNA,95
95,6481,26,138,DNA,95
99,9558,26,141,DNA,98
65,6038,23,177,DNA,94
54,7989,25,227,DNA,90
87,8453,26,243,DNA,90
76,9407,23,191,DNA,89
50,4236,27,189,DNA,100
64,3979,26,244,DNA,92
78,6999,26,100,DNA,98
80,6654,22,171,DNA,92
60,4866,22,143,DNA,94
57,4968,27,161,DNA,98
61,8126,24,108,DNA,97
83,9061,22,116,DNA,96
78,7468,26,201,DNA,95
92,7784,23,189,DNA,91
88,8950,25,183,DNA,91
59,7469,28,116,DNA,89
56,8060,25,90,DNA,88
68,6231,25,112,DNA,91
52,7790,25,90,DNA,98
99,8980,28,229,DNA,95
51,4808,22,157,DNA,93
60,9821,23,155,DNA,89
63,7355,27,146,DNA,91
100,4598,24,145,DNA,100
53,5753,28,100,DNA,94
50,3030,23,171,DNA,90
91,3300,25,219,DNA,99
92,5993,25,240,DNA,99
87,5438,26,144,DNA,94
100,5174,22,131,DNA,94
58,8331,22,179,DNA,94
77,5599,27,189,DNA,91
85,9031,24,158,DNA,98
67,7664,25,154,DNA,97
84,9351,24,187,DNA,96
74,8916,24,146,DNA,100
63,9154,28,93,DNA,91
100,3263,23,207,DNA,96
92,4808,23,175,DNA,90
99,8788,26,223,DNA,88
97,4381,24,176,DNA,88
52,5075,22,93,DNA,99
78,4935,23,247,DNA,97
64,9668,23,195,DNA,96
87,7786,25,170,DNA,99
50,7729,25,110,DNA,93
97,7458,24,151,DNA,98
89,5472,27,101,DNA,94
74,5851,22,208,DNA,95
93,3155,24,246,DNA,91
56,7469,24,197,DNA,92
73,4710,25,161,DNA,100
57,6930,23,221,DNA,99
57,3982,24,235,DNA,92
86,3516,28,139,DNA,99
99,5080,25,120,DNA,89
94,4887,23,190,DNA,97
62,8648,24,108,DNA,91
56,7573,26,139,DNA,97
87,7511,22,250,DNA,91
79,8262,23,187,DNA,97
87,7899,23,224,DNA,95
99,6531,25,129,DNA,96
96,6292,24,147,DNA,99
97,6120,25,178,DNA,100
99,7545,27,116,DNA,100
81,8265,24,231,DNA,96
76,9858,28,102,DNA,92
52,4339,22,132,DNA,90
85,5949,27,134,DNA,94
75,5654,23,153,DNA,97
100,5737,22,199,DNA,89
98,6253,28,126,DNA,95
85,9508,22,113,DNA,99
50,9432,24,227,DNA,91
86,7992,26,247,DNA,89
80,7505,26,155,DNA,95
53,5385,25,248,DNA,93
100,7404,26,115,DNA,98
61,5968,23,88,DNA,95
83,3823,22,165,DNA,93
80,7285,23,221,DNA,90
72,6856,23,109,DNA,99
53,5931,23,148,DNA,92
88,4624,22,219,DNA,96
92,8046,26,248,DNA,98
63,4558,22,148,DNA,95
84,6659,25,125,DNA,99
77,3318,27,149,DNA,95
54,7321,28,169,DNA,98
60,8104,28,250,DNA,93
50,8458,22,119,DNA,93
72,9276,26,111,DNA,96
76,3974,25,171,DNA,88
86,4068,22,218,DNA,92
67,6401,26,165,DNA,94
90,6510,27,185,DNA,93
62,4467,25,238,DNA,88
98,5347,27,112,DNA,94
67,8703,22,216,DNA,99
94,4283,24,105,DNA,88
59,9918,28,238,DNA,100
82,4542,27,125,DNA,88
82,3926,25,250,DNA,88
94,6114,23,204,DNA,92
84,5135,25,102,DNA,93
65,8358,28,151,DNA,99
98,3301,26,93,DNA,99
78,7421,26,188,DNA,88
72,7859,23,161,DNA,98
97,9487,22,144,DNA,96
50,3408,23,196,DNA,98
83,5644,26,225,DNA,96
88,8209,28,168,DNA,93
86,4157,24,215,DNA,97
91,8052,24,196,DNA,98
92,9680,25,94,DNA,99
79,7000,24,247,DNA,93
99,9991,24,164,DNA,99
68,3722,26,212,DNA,91
88,4370,26,169,DNA,98
61,5851,28,112,DNA,90
55,8112,23,211,DNA,98
75,8620,25,245,DNA,94
50,9751,26,131,DNA,89
65,5471,26,152,DNA,88
81,3845,27,171,DNA,96
96,3641,26,141,DNA,88
78,6288,22,135,DNA,97
76,5236,27,112,DNA,89
85,8012,28,216,DNA,93
89,8126,28,223,DNA,97
68,7203,24,241,DNA,99
91,8808,22,217,DNA,90
57,5682,25,170,DNA,90
87,9382,22,164,DNA,95
82,5504,22,131,DNA,95
65,8246,22,164,DNA,99
59,3311,28,129,DNA,100
77,3414,27,128,DNA,93
81,6401,28,117,DNA,100
70,7967,24,172,DNA,88
54,3388,24,169,DNA,94
64,3026,28,239,DNA,89
58,4811,23,119,DNA,100
53,9487,28,177,DNA,94
63,9505,23,122,DNA,94
75,8024,23,92,DNA,95
86,9294,24,144,DNA,95
100,9087,26,196,DNA,88
79,6801,28,190,DNA,91
71,3968,27,197,DNA,100
75,6716,26,212,DNA,91
61,6631,28,148,DNA,94
81,9362,23,234,DNA,89
78,5233,25,146,DNA,95
88,6795,28,198,DNA,90
60,6154,28,166,DNA,93
88,5390,26,231,DNA,91
56,5113,22,107,DNA,93
56,4181,26,94,DNA,99
65,8082,28,226,DNA,92
65,8010,28,174,DNA,91
75,3232,27,240,DNA,94
71,9224,26,92,DNA,97
51,7088,22,139,DNA,100
76,6991,27,148,DNA,91
62,9286,25,209,DNA,90
67,5459,24,169,DNA,94
87,5562,26,233,DNA,100
62,4404,22,246,DNA,90
58,8051,25,108,DNA,98
92,3822,24,207,DNA,94
70,9906,22,249,DNA,93
51,4279,22,122,DNA,100
92,4507,26,201,DNA,99
99,9017,26,141,DNA,98
53,7496,26,95,DNA,97
59,4210,26,238,DNA,96
54,4550,23,107,DNA,95
86,4866,23,214,DNA,91
80,4760,28,109,DNA,88
86,4887,26,134,DNA,100
54,6711,27,241,DNA,88
76,5013,24,155,DNA,93
75,6875,23,160,DNA,91
85,8839,27,123,DNA,94
67,4054,26,185,DNA,89
91,9590,24,151,DNA,93
82,6948,24,178,DNA,94
62,6869,26,200,DNA,98
100,3631,24,224,DNA,90
90,5877,22,125,DNA,97
61,7877,23,174,DNA,96
60,9724,24,141,DNA,89
55,5972,24,198,DNA,88
86,7019,25,164,DNA,99
97,3524,24,142,DNA,90
100,6281,24,110,DNA,95
56,8773,28,240,DNA,100
61,3091,25,220,DNA,90
50,8286,27,161,DNA,94
78,5561,25,173,DNA,88
54,3518,24,170,DNA,98
60,6413,28,235,DNA,92
71,7479,22,96,DNA,99
75,8431,28,122,DNA,100
50,6161,23,200,DNA,91
81,4791,26,90,DNA,94
92,4711,23,250,DNA,90
61,4575,26,137,DNA,93
90,6002,26,116,DNA,99
75,5922,27,170,DNA,88
62,8879,23,184,DNA,95
86,6997,27,215,DNA,97
88,8848,23,194,DNA,99
97,6408,26,209,DNA,99
76,6110,27,124,DNA,98
64,9843,28,199,DNA,94
97,9744,22,236,DNA,96
95,7549,24,179,DNA,100
66,4762,27,243,DNA,88
80,8191,27,213,DNA,88
60,3086,27,175,DNA,93
91,6194,28,162,DNA,99
65,8703,25,227,DNA,88
85,3603,27,163,DNA,92
59,9485,26,245,DNA,96
93,8657,28,177,DNA,95
66,8236,28,104,DNA,99
89,8383,26,186,DNA,94
68,3961,25,193,DNA,96
98,3752,27,187,DNA,91
69,8046,22,235,DNA,88
74,7564,25,243,DNA,94
61,7689,22,196,DNA,93
67,5901,22,156,DNA,96
53,6512,25,159,DNA,94
61,4500,23,245,DNA,93
72,4314,28,212,DNA,90
92,5643,27,220,DNA,99
75,8656,24,107,DNA,91
60,5933,22,177,DNA,94
65,8080,25,180,DNA,96
51,8847,27,179,DNA,100
79,8330,22,168,DNA,92
56,7896,27,228,DNA,94
85,6633,28,98,DNA,90
74,4764,24,147,DNA,90
79,7016,25,192,DNA,94
60,7319,23,224,DNA,92
52,8106,25,166,DNA,89
91,9173,22,139,DNA,88